,subdivision_id,division_id,name,local_name
822,56212,32,Baturaja,Baturaja
823,56402,32,Kabupaten Empat Lawang,Kabupaten Empat Lawang
824,56542,32,Kabupaten Muara Enim,Kabupaten Muara Enim
825,56548,32,Kabupaten Musi Banyuasin,Kabupaten Musi Banyuasin
826,56549,32,Kabupaten Musi Rawas,Kabupaten Musi Rawas
827,56550,32,Kabupaten Musi Rawas Utara,Kabupaten Musi Rawas Utara
828,56563,32,Kabupaten Ogan Ilir,Kabupaten Ogan Ilir
829,56564,32,Kabupaten Ogan Komering Ilir,Kabupaten Ogan Komering Ilir
830,56565,32,Kabupaten Ogan Komering Ulu,Kabupaten Ogan Komering Ulu
831,56566,32,Kabupaten Ogan Komering Ulu Selatan,Kabupaten Ogan Komering Ulu Selatan
832,56567,32,Kabupaten Ogan Komering Ulu Timur,Kabupaten Ogan Komering Ulu Timur
833,56589,32,Kabupaten Penukal Abab Lematang Ilir,Kabupaten Penukal Abab Lematang Ilir
834,56763,32,Kota Lubuklinggau,Kota Lubuklinggau
835,56776,32,Kota Pagar Alam,Kota Pagar Alam
836,56778,32,Kota Palembang,Kota Palembang
837,56789,32,Kota Prabumulih,Kota Prabumulih
838,56833,32,Lahat,Lahat
839,56834,32,Lahat Regency,Lahat Regency
840,56847,32,Lubuklinggau,Lubuklinggau
841,56895,32,Pagar Alam,Pagar Alam
842,56898,32,Palembang,Palembang
843,56939,32,Prabumulih,Prabumulih
844,57020,32,Tanjungagung,Tanjungagung
845,56177,33,Ambarita,Ambarita
846,56194,33,Bandar,Bandar
847,56216,33,Belawan,Belawan
848,56218,33,Berastagi,Berastagi
849,56222,33,Binjai,Binjai
850,56261,33,Deli Tua,Deli Tua
851,56290,33,Gunungsitoli,Gunungsitoli
852,56306,33,Kabanjahe,Kabanjahe
853,56320,33,Kabupaten Asahan,Kabupaten Asahan
854,56348,33,Kabupaten Batu Bara,Kabupaten Batu Bara
855,56394,33,Kabupaten Dairi,Kabupaten Dairi
856,56396,33,Kabupaten Deli Serdang,Kabupaten Deli Serdang
857,56423,33,Kabupaten Humbang Hasundutan,Kabupaten Humbang Hasundutan
858,56442,33,Kabupaten Karo,Kabupaten Karo
859,56479,33,Kabupaten Labuhan Batu,Kabupaten Labuhan Batu
860,56480,33,Kabupaten Labuhan Batu Selatan,Kabupaten Labuhan Batu Selatan
861,56481,33,Kabupaten Labuhan Batu Utara,Kabupaten Labuhan Batu Utara
862,56489,33,Kabupaten Langkat,Kabupaten Langkat
863,56523,33,Kabupaten Mandailing Natal,Kabupaten Mandailing Natal
864,56559,33,Kabupaten Nias,Kabupaten Nias
865,56560,33,Kabupaten Nias Barat,Kabupaten Nias Barat
866,56561,33,Kabupaten Nias Utara,Kabupaten Nias Utara
867,56569,33,Kabupaten Padang Lawas,Kabupaten Padang Lawas
868,56570,33,Kabupaten Padang Lawas Utara,Kabupaten Padang Lawas Utara
869,56572,33,Kabupaten Pakpak Bharat,Kabupaten Pakpak Bharat
870,56615,33,Kabupaten Samosir,Kabupaten Samosir
871,56624,33,Kabupaten Serdang Bedagai,Kabupaten Serdang Bedagai
872,56633,33,Kabupaten Simalungun,Kabupaten Simalungun
873,56670,33,Kabupaten Tapanuli Selatan,Kabupaten Tapanuli Selatan
874,56671,33,Kabupaten Tapanuli Tengah,Kabupaten Tapanuli Tengah
875,56672,33,Kabupaten Tapanuli Utara,Kabupaten Tapanuli Utara
876,56717,33,Kisaran,Kisaran
877,56741,33,Kota Binjai,Kota Binjai
878,56754,33,Kota Gunungsitoli,Kota Gunungsitoli
879,56770,33,Kota Medan,Kota Medan
880,56775,33,Kota Padangsidimpuan,Kota Padangsidimpuan
881,56788,33,Kota Pematang Siantar,Kota Pematang Siantar
882,56797,33,Kota Sibolga,Kota Sibolga
883,56807,33,Kota Tanjung Balai,Kota Tanjung Balai
884,56810,33,Kota Tebing Tinggi,Kota Tebing Tinggi
885,56832,33,Labuhan Deli,Labuhan Deli
886,56867,33,Medan,Medan
887,56894,33,Padangsidempuan,Padangsidempuan
888,56910,33,Pangkalan Brandan,Pangkalan Brandan
889,56914,33,Parapat,Parapat
890,56926,33,Pekan Bahapal,Pekan Bahapal
891,56930,33,Pematangsiantar,Pematangsiantar
892,56932,33,Perbaungan,Perbaungan
893,56933,33,Percut,Percut
894,56951,33,Rantauprapat,Rantauprapat
895,56973,33,Sibolga,Sibolga
896,57000,33,Stabat,Stabat
897,57010,33,Sunggal,Sunggal
898,57021,33,Tanjungbalai,Tanjungbalai
899,57022,33,Tanjungtiram,Tanjungtiram
900,57027,33,Tebingtinggi,Tebingtinggi
901,57029,33,Teluk Nibung,Teluk Nibung
902,57036,33,Tomok Bolon,Tomok Bolon
903,57038,33,Tongging,Tongging
904,57043,33,Tuktuk Sonak,Tuktuk Sonak
